Date,Close
2017-01-03,"2,257.8300"
2017-01-04,"2,270.7500"
2017-01-05,"2,269.0000"
2017-01-06,"2,276.9800"
2017-01-09,"2,268.9000"
2017-01-10,"2,268.9000"
2017-01-11,"2,275.3200"
2017-01-12,"2,270.4200"
2017-01-13,"2,274.6400"
2017-01-17,"2,267.8800"
2017-01-18,"2,271.8900"
2017-01-19,"2,263.6900"
2017-01-20,"2,271.3200"
2017-01-23,"2,265.2000"
2017-01-24,"2,280.0800"
2017-01-25,"2,298.3700"
2017-01-26,"2,296.6800"
2017-01-27,"2,294.6900"
2017-01-30,"2,280.8900"
2017-01-31,"2,278.8700"
2017-02-01,"2,279.5500"
2017-02-02,"2,280.8500"
2017-02-03,"2,297.4200"
2017-02-06,"2,292.5600"
2017-02-07,"2,293.0800"
2017-02-08,"2,294.6700"
2017-02-09,"2,307.8700"
2017-02-10,"2,316.1000"
2017-02-13,"2,328.2500"
2017-02-14,"2,337.5800"
2017-02-15,"2,349.2500"
2017-02-16,"2,347.2200"
2017-02-17,"2,351.1600"
2017-02-21,"2,365.3800"
2017-02-22,"2,362.8200"
2017-02-23,"2,363.8100"
2017-02-24,"2,367.3400"
2017-02-27,"2,369.7500"
2017-02-28,"2,363.6400"
2017-03-01,"2,395.9600"
2017-03-02,"2,381.9200"
2017-03-03,"2,383.1200"
2017-03-06,"2,375.3100"
2017-03-07,"2,368.3900"
2017-03-08,"2,362.9800"
2017-03-09,"2,364.8700"
2017-03-10,"2,372.6000"
2017-03-13,"2,373.4700"
2017-03-14,"2,365.4500"
2017-03-15,"2,385.2600"
2017-03-16,"2,381.3800"
2017-03-17,"2,378.2500"
2017-03-20,"2,373.4700"
2017-03-21,"2,344.0200"
2017-03-22,"2,348.4500"
2017-03-23,"2,345.9600"
2017-03-24,"2,343.9800"
2017-03-27,"2,341.5900"
2017-03-28,"2,358.5700"
2017-03-29,"2,361.1300"
2017-03-30,"2,368.0600"
2017-03-31,"2,362.7200"
2017-04-03,"2,358.8400"
2017-04-04,"2,360.1600"
2017-04-05,"2,352.9500"
2017-04-06,"2,357.4900"
2017-04-07,"2,355.5400"
2017-04-10,"2,357.1600"
2017-04-11,"2,353.7800"
2017-04-12,"2,344.9300"
2017-04-13,"2,328.9500"
2017-04-17,"2,349.0100"
2017-04-18,"2,342.1900"
2017-04-19,"2,338.1700"
2017-04-20,"2,355.8400"
2017-04-21,"2,348.6900"
2017-04-24,"2,374.1500"
2017-04-25,"2,388.6100"
2017-04-26,"2,387.4500"
2017-04-27,"2,388.7700"
2017-04-28,"2,384.2000"
2017-05-01,"2,388.3300"
2017-05-02,"2,391.1700"
2017-05-03,"2,388.1300"
2017-05-04,"2,389.5200"
2017-05-05,"2,399.2900"
2017-05-08,"2,399.3800"
2017-05-09,"2,396.9200"
2017-05-10,"2,399.6300"
2017-05-11,"2,394.4400"
2017-05-12,"2,390.9000"
2017-05-15,"2,402.3200"
2017-05-16,"2,400.6700"
2017-05-17,"2,357.0300"
2017-05-18,"2,365.7200"
2017-05-19,"2,381.7300"
2017-05-22,"2,394.0200"
2017-05-23,"2,398.4200"
2017-05-24,"2,404.3900"
2017-05-25,"2,415.0700"
2017-05-26,"2,415.8200"
2017-05-30,"2,412.9100"
2017-05-31,"2,411.8000"
2017-06-01,"2,430.0600"
2017-06-02,"2,439.0700"
2017-06-05,"2,436.1000"
2017-06-06,"2,429.3300"
2017-06-07,"2,433.1400"
2017-06-08,"2,433.7900"
2017-06-09,"2,431.7700"
2017-06-12,"2,429.3900"
2017-06-13,"2,440.3500"
2017-06-14,"2,437.9200"
2017-06-15,"2,432.4600"
2017-06-16,"2,433.1500"
2017-06-19,"2,453.4600"
2017-06-20,"2,437.0300"
2017-06-21,"2,435.6100"
2017-06-22,"2,434.5000"
2017-06-23,"2,438.3000"
2017-06-26,"2,439.0700"
2017-06-27,"2,419.3800"
2017-06-28,"2,440.6900"
2017-06-29,"2,419.7000"
2017-06-30,"2,423.4100"
2017-07-03,"2,429.0100"
2017-07-05,"2,432.5400"
2017-07-06,"2,409.7500"
2017-07-07,"2,425.1800"
2017-07-10,"2,427.4300"
2017-07-11,"2,425.5300"
2017-07-12,"2,443.2500"
2017-07-13,"2,447.8300"
2017-07-14,"2,459.2700"
2017-07-17,"2,459.1400"
2017-07-18,"2,460.6100"
2017-07-19,"2,473.8300"
2017-07-20,"2,473.4500"
2017-07-21,"2,472.5400"
2017-07-24,"2,469.9100"
2017-07-25,"2,477.0800"
2017-07-26,"2,477.8300"
2017-07-27,"2,475.4200"
2017-07-28,"2,472.1000"
2017-07-31,"2,470.3000"
2017-08-01,"2,476.3500"
2017-08-02,"2,477.5700"
2017-08-03,"2,472.1600"
2017-08-04,"2,476.8300"
2017-08-07,"2,480.9100"
2017-08-08,"2,474.9200"
2017-08-09,"2,474.0200"
2017-08-10,"2,438.2100"
2017-08-11,"2,441.3200"
2017-08-14,"2,465.6600"
2017-08-15,"2,464.6100"
2017-08-16,"2,468.1100"
2017-08-17,"2,430.0100"
2017-08-18,"2,425.5500"
2017-08-21,"2,428.3700"
2017-08-22,"2,452.5100"
2017-08-23,"2,444.0400"
2017-08-24,"2,438.9700"
2017-08-25,"2,443.0500"
2017-08-28,"2,444.2400"
2017-08-29,"2,446.3000"
2017-08-30,"2,457.5900"
2017-08-31,"2,471.6500"
2017-09-01,"2,476.5500"
2017-09-05,"2,457.8500"
2017-09-06,"2,465.5400"
2017-09-07,"2,465.1000"
2017-09-08,"2,461.4300"
2017-09-11,"2,488.1100"
2017-09-12,"2,496.4800"
2017-09-13,"2,498.3700"
2017-09-14,"2,495.6200"
2017-09-15,"2,500.2300"
2017-09-18,"2,503.8700"
2017-09-19,"2,506.6500"
2017-09-20,"2,508.2400"
2017-09-21,"2,500.6000"
2017-09-22,"2,502.2200"
2017-09-25,"2,496.6600"
2017-09-26,"2,496.8400"
2017-09-27,"2,507.0400"
2017-09-28,"2,510.0600"
2017-09-29,"2,519.3600"
2017-10-02,"2,529.1200"
2017-10-03,"2,534.5800"
2017-10-04,"2,537.7400"
2017-10-05,"2,552.0700"
